utilization.gpu [%], temperature.gpu, memory.used [MiB]
utilization.gpu [%], temperature.gpu, memory.used [MiB]
1 %, 31, 541 MiB
utilization.gpu [%], temperature.gpu, memory.used [MiB]
0 %, 31, 541 MiB
utilization.gpu [%], temperature.gpu, memory.used [MiB]
3 %, 31, 541 MiB
utilization.gpu [%], temperature.gpu, memory.used [MiB]
3 %, 31, 541 MiB
utilization.gpu [%], temperature.gpu, memory.used [MiB]
1 %, 32, 578 MiB
11 %, 32, 586 MiB
12 %, 32, 543 MiB
10 %, 32, 543 MiB
13 %, 32, 543 MiB
10 %, 32, 543 MiB
45 %, 32, 543 MiB
10 %, 32, 543 MiB
9 %, 32, 543 MiB
32 %, 32, 543 MiB
11 %, 32, 543 MiB
16 %, 32, 543 MiB
11 %, 32, 543 MiB
11 %, 32, 543 MiB
12 %, 32, 543 MiB
13 %, 32, 543 MiB
8 %, 32, 543 MiB
9 %, 32, 543 MiB
11 %, 32, 543 MiB
13 %, 32, 543 MiB
10 %, 32, 543 MiB
10 %, 32, 543 MiB
21 %, 32, 543 MiB
12 %, 32, 543 MiB
12 %, 32, 543 MiB
26 %, 32, 543 MiB
11 %, 32, 543 MiB
12 %, 32, 543 MiB
15 %, 32, 543 MiB
17 %, 32, 543 MiB
16 %, 32, 543 MiB
7 %, 32, 543 MiB
8 %, 32, 543 MiB
13 %, 32, 543 MiB
9 %, 32, 543 MiB
13 %, 32, 543 MiB
9 %, 32, 543 MiB
38 %, 32, 543 MiB
10 %, 32, 543 MiB
10 %, 32, 543 MiB
38 %, 32, 543 MiB
11 %, 32, 543 MiB
8 %, 32, 543 MiB
35 %, 32, 543 MiB
13 %, 32, 543 MiB
10 %, 32, 543 MiB
utilization.gpu [%], temperature.gpu, memory.used [MiB]
15 %, 32, 543 MiB
13 %, 32, 543 MiB
11 %, 32, 543 MiB
46 %, 32, 543 MiB
12 %, 32, 543 MiB
10 %, 32, 543 MiB
10 %, 32, 543 MiB
10 %, 32, 543 MiB
16 %, 32, 543 MiB
35 %, 32, 543 MiB
8 %, 32, 543 MiB
11 %, 32, 543 MiB
37 %, 32, 543 MiB
10 %, 32, 543 MiB
11 %, 32, 543 MiB
29 %, 32, 543 MiB
11 %, 32, 543 MiB
12 %, 32, 543 MiB
21 %, 32, 543 MiB
12 %, 32, 543 MiB
11 %, 32, 543 MiB
32 %, 32, 543 MiB
11 %, 32, 543 MiB
12 %, 32, 543 MiB
28 %, 32, 543 MiB
11 %, 32, 543 MiB
16 %, 32, 543 MiB
13 %, 32, 543 MiB
11 %, 32, 543 MiB
16 %, 32, 543 MiB
11 %, 32, 543 MiB
16 %, 32, 543 MiB
15 %, 32, 543 MiB
14 %, 32, 543 MiB
35 %, 32, 543 MiB
12 %, 32, 543 MiB
11 %, 32, 543 MiB
56 %, 32, 543 MiB
12 %, 32, 543 MiB
13 %, 32, 543 MiB
14 %, 32, 543 MiB
9 %, 32, 543 MiB
11 %, 32, 543 MiB
11 %, 32, 543 MiB
14 %, 32, 543 MiB
10 %, 32, 543 MiB
7 %, 31, 543 MiB
1 %, 31, 543 MiB
utilization.gpu [%], temperature.gpu, memory.used [MiB]
3 %, 31, 543 MiB
12 %, 31, 543 MiB
9 %, 31, 543 MiB
12 %, 31, 543 MiB
13 %, 31, 543 MiB
14 %, 31, 543 MiB
10 %, 31, 543 MiB
54 %, 31, 543 MiB
14 %, 31, 543 MiB
10 %, 31, 543 MiB
39 %, 31, 543 MiB
14 %, 31, 543 MiB
11 %, 31, 543 MiB
10 %, 31, 543 MiB
8 %, 31, 543 MiB
9 %, 31, 543 MiB
21 %, 31, 543 MiB
12 %, 31, 543 MiB
8 %, 31, 543 MiB
11 %, 31, 543 MiB
15 %, 31, 543 MiB
12 %, 31, 543 MiB
28 %, 31, 543 MiB
12 %, 31, 543 MiB
12 %, 31, 543 MiB
17 %, 31, 543 MiB
10 %, 31, 543 MiB
8 %, 31, 543 MiB
12 %, 31, 543 MiB
12 %, 31, 543 MiB
8 %, 31, 543 MiB
22 %, 31, 543 MiB
9 %, 31, 543 MiB
13 %, 31, 543 MiB
10 %, 31, 543 MiB
9 %, 31, 543 MiB
11 %, 31, 543 MiB
11 %, 31, 543 MiB
12 %, 31, 543 MiB
11 %, 31, 543 MiB
12 %, 31, 543 MiB
52 %, 31, 543 MiB
10 %, 31, 543 MiB
9 %, 31, 543 MiB
34 %, 31, 543 MiB
12 %, 31, 543 MiB
0 %, 31, 543 MiB
12 %, 31, 543 MiB
